Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  158.457  158.457 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/click/core.py:572(invoke)
        1    0.001    0.001  158.456  158.456 ./experiment:80(test_local_search)
       12    0.074    0.006  158.062   13.172 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_optimization.py:22(optimize)
1158425/605538   11.699    0.000  143.936    0.000 {built-in method builtins.sum}
     3327    0.031    0.000   82.311    0.025 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_optimization.py:19(__get_density)
     3339    0.021    0.000   82.310    0.025 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/function.py:93(density)
     3339    0.005    0.000   81.683    0.024 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/function.py:88(number_of_edges)
     3339    0.015    0.000   81.677    0.024 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:1796(number_of_edges)
     3339    0.017    0.000   81.662    0.024 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:1753(size)
   556226    0.208    0.000   81.508    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/graph.py:1789(<genexpr>)
   556226    1.067    0.000   81.300    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/reportviews.py:454(__iter__)
572972/566294    0.325    0.000   77.983    0.000 {built-in method builtins.len}
   556226    0.506    0.000   77.661    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/coreviews.py:269(__len__)
     3327    1.150    0.000   75.038    0.023 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_optimization.py:33(<listcomp>)
 42762533    9.467    0.000   69.984    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/coreviews.py:270(<genexpr>)
 42753623   15.996    0.000   60.515    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/coreviews.py:279(<genexpr>)
 44754726    9.696    0.000   56.331    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/util/local_optimization.py:33(<genexpr>)
 44754726   20.898    0.000   46.634    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/algorithms/boundary.py:86(<genexpr>)
 44319062   28.423    0.000   44.372    0.000 /Users/Krystopher_Weeton/Documents/workspaces/independent-set/env/lib/python3.7/site-packages/networkx/classes/coreviews.py:323(new_node_ok)
